Title,Price,Category,Rating,Number of Reviews
"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹11,499",mobiles 5g,4.3,"25,224 Ratings & 1,936 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)","₹21,999",mobiles 5g,4.5,"34,954 Ratings & 1,828 Reviews"
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹39,999",mobiles 5g,4.6,"37,852 Ratings & 2,030 Reviews"
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹25,999",mobiles 5g,4.3,"31,115 Ratings & 2,359 Reviews"
"Motorola G85 5G (Olive Green, 128 GB)","₹15,999",mobiles 5g,4.4,"2,44,879 Ratings & 12,201 Reviews"
"POCO C75 5G (Silver Stardust, 64 GB)","₹7,299",mobiles 5g,4.2,"1,18,366 Ratings & 5,394 Reviews"
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹14,999",mobiles 5g,4.4,"5,099 Ratings & 341 Reviews"
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹7,999",mobiles 5g,4.1,"29,113 Ratings & 1,758 Reviews"
"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)","₹9,335",mobiles 5g,4.3,"9,763 Ratings & 430 Reviews"
"POCO X7 Pro 5G (Yellow, 256 GB)","₹22,999",mobiles 5g,4.4,"6,478 Ratings & 694 Reviews"
"Apple iPhone 17 (Black, 256 GB)","₹82,900",mobiles 5g,4.7,"1,202 Ratings & 98 Reviews"
"Nothing Phone (3a) (Black, 256 GB)","₹25,999",mobiles 5g,4.5,"44,261 Ratings & 3,267 Reviews"
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","₹19,999",mobiles 5g,4.4,"46,492 Ratings & 2,729 Reviews"
"Google Pixel 9A (Porcelain, 256 GB)","₹44,999",mobiles 5g,4.4,"3,009 Ratings & 234 Reviews"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",mobiles 5g,4.4,"46,492 Ratings & 2,729 Reviews"
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹44,999",mobiles 5g,4.6,"37,852 Ratings & 2,030 Reviews"
"Google Pixel 9A (Obsidian, 256 GB)","₹44,999",mobiles 5g,4.4,"3,009 Ratings & 234 Reviews"
"POCO F7 5G (Cyber Silver Edition, 256 GB)","₹30,999",mobiles 5g,4.4,"13,223 Ratings & 1,368 Reviews"
"Apple iPhone 17 (Lavender, 256 GB)","₹82,900",mobiles 5g,4.7,"1,202 Ratings & 98 Reviews"
"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)","₹1,29,900",mobiles 5g,4.7,"12,924 Ratings & 664 Reviews"
"Tecno Pova 7 5G (Oasis Green, 256 GB)","₹15,999",mobiles 5g,4.4,"4,773 Ratings & 337 Reviews"
"Motorola G85 5G (Viva Magenta, 128 GB)","₹15,999",mobiles 5g,4.4,"2,44,879 Ratings & 12,201 Reviews"
"POCO M7 5G (Mint Green, 128 GB)","₹9,499",mobiles 5g,4.2,"9,687 Ratings & 481 Reviews"
"POCO M7 5G (Satin Black, 128 GB)","₹8,499",mobiles 5g,4.1,"44,433 Ratings & 2,094 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
"realme P3 Pro 5G (Saturn Brown, 256 GB)","₹18,999",mobiles 5g,4.4,"2,621 Ratings & 207 Reviews"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹7,999",mobiles 5g,4.1,"29,113 Ratings & 1,758 Reviews"
"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹16,999",mobiles 5g,4.4,"11,437 Ratings & 866 Reviews"
"IQOO Z10X 5G (Titanium, 128 GB)","₹13,287",mobiles 5g,4.4,"5,599 Ratings & 301 Reviews"
"POCO M7 Pro 5G (Lunar Dust, 256 GB)","₹13,499",mobiles 5g,4.2,"9,687 Ratings & 873 Reviews"
"Apple iPhone 14 (Starlight, 128 GB)","₹52,900",mobiles 5g,4.6,"3,18,732 Ratings & 11,822 Reviews"
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹11,999",mobiles 5g,4.3,62 Ratings & 7 Reviews
"Tecno Pova 7 5G (Geek Black, 128 GB)","₹12,499",mobiles 5g,4.4,"4,773 Ratings & 337 Reviews"
"Ai+ Nova 5G (Green, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"Tecno Pova 7 5G (Magic Silver, 128 GB)","₹12,499",mobiles 5g,4.4,"4,773 Ratings & 337 Reviews"
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹10,499",mobiles 5g,4.4,"2,452 Ratings & 99 Reviews"
"Ai+ Nova 5G (Purple, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹11,999",mobiles 5g,4.3,62 Ratings & 7 Reviews
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹10,499",mobiles 5g,4.5,"3,614 Ratings & 130 Reviews"
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹10,499",mobiles 5g,4.5,"3,614 Ratings & 130 Reviews"
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",mobiles 5g,4.6,"37,852 Ratings & 2,030 Reviews"
"Ai+ Nova 5G (Pink, 128 GB)","₹7,999",mobiles 5g,4.1,"10,794 Ratings & 782 Reviews"
"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)","₹25,999",mobiles 5g,4.3,"31,115 Ratings & 2,359 Reviews"
"POCO F7 5G (Cyber Silver Edition, 512 GB)","₹32,999",mobiles 5g,4.4,"13,223 Ratings & 1,368 Reviews"
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹8,999",mobiles 5g,4.2,"93,278 Ratings & 6,141 Reviews"
"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","₹23,999",mobiles 5g,4.5,"2,402 Ratings & 254 Reviews"
"Tecno Pova 7 5G (Oasis Green, 128 GB)","₹12,249",mobiles 5g,4.4,"4,773 Ratings & 337 Reviews"
"Tecno Pova 7 5G (Geek Black, 256 GB)","₹15,999",mobiles 5g,4.4,"4,773 Ratings & 337 Reviews"
"Alcatel V3 Classic 5G (Cosmic Grey, 128 GB)","₹8,999",mobiles 5g,4.4,"1,293 Ratings & 508 Reviews"
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,4.4,0
Unknown,0,mobiles 5g,Unknown,0
Unknown,0,mobiles 5g,Unknown,0
